date,layers,temperature,humidity,egg_count
2014-12-18 12:33:53,2561,39.6,80.5,1793
2014-12-25 12:33:53,2595,42.0,62.0,1962
2015-01-01 12:33:53,2701,26.8,92.0,1877
2015-01-08 12:33:53,981,18.6,96.5,537
2015-01-15 12:33:53,4786,34.1,86.8,2918
2015-01-22 12:33:53,3410,34.2,80.9,2360
2015-01-29 12:33:53,4676,22.6,77.5,3433
2015-02-05 12:33:53,1554,31.8,92.0,1194
2015-02-12 12:33:53,4858,19.6,79.5,3083
2015-02-19 12:33:53,898,39.6,85.9,753
2015-02-26 12:33:53,2943,27.8,97.9,1833
2015-03-05 12:33:53,4837,34.9,92.6,3516
2015-03-12 12:33:53,1599,36.7,72.7,1016
2015-03-19 12:33:53,426,18.9,68.6,237
2015-03-26 12:33:53,2502,18.5,69.1,1575
2015-04-02 12:33:53,662,41.7,57.9,489
2015-04-09 12:33:53,2777,19.8,74.9,1821
2015-04-16 12:33:53,1057,18.9,52.9,707
2015-04-23 12:33:53,4039,38.6,93.8,2808
2015-04-30 12:33:53,1975,41.7,97.0,1621
2015-05-07 12:33:53,719,20.0,74.9,595
2015-05-14 12:33:53,4427,41.2,56.7,3461
2015-05-21 12:33:53,880,20.4,70.7,675
2015-05-28 12:33:53,676,33.9,77.6,368
2015-06-04 12:33:53,531,39.7,80.0,416
2015-06-11 12:33:53,4948,22.8,99.9,2659
2015-06-18 12:33:53,1258,38.0,91.0,665
2015-06-25 12:33:53,4701,39.2,95.0,3527
2015-07-02 12:33:53,3655,19.9,87.1,3237
2015-07-09 12:33:53,4305,24.5,55.0,3620
2015-07-16 12:33:53,1918,36.9,77.7,1002
2015-07-23 12:33:53,1711,20.0,95.9,863
2015-07-30 12:33:53,1654,20.7,94.0,1164
2015-08-06 12:33:53,4036,40.5,74.7,2290
2015-08-13 12:33:53,630,21.7,87.6,405
2015-08-20 12:33:53,3604,32.7,69.8,3197
2015-08-27 12:33:53,4347,33.7,67.3,2792
2015-09-03 12:33:53,898,33.8,90.7,751
2015-09-10 12:33:53,4154,18.1,76.4,2303
2015-09-17 12:33:53,679,41.2,63.4,436
2015-09-24 12:33:53,691,25.6,58.8,414
2015-10-01 12:33:53,4351,41.9,77.5,2576
2015-10-08 12:33:53,4547,31.1,77.4,2351
2015-10-15 12:33:53,364,34.6,73.3,252
2015-10-22 12:33:53,2918,23.2,52.6,1752
2015-10-29 12:33:53,629,33.3,51.5,434
2015-11-05 12:33:53,2945,39.1,64.2,1907
2015-11-12 12:33:53,4116,41.3,88.6,2299
2015-11-19 12:33:53,3502,26.1,60.0,2932
2015-11-26 12:33:53,291,20.0,85.2,148
2015-12-03 12:33:53,4453,34.0,79.4,3179
2015-12-10 12:33:53,3083,29.1,62.6,1680
2015-12-17 12:33:53,3973,40.3,86.3,3020
2015-12-24 12:33:53,3521,25.9,55.3,3001
2015-12-31 12:33:53,3469,35.0,94.9,1907
2016-01-07 12:33:53,2152,33.3,87.2,1790
2016-01-14 12:33:53,3373,25.8,67.9,1898
2016-01-21 12:33:53,1799,36.2,80.3,1093
2016-01-28 12:33:53,501,37.6,81.3,375
2016-02-04 12:33:53,1646,25.2,73.6,947
2016-02-11 12:33:53,4347,18.9,92.7,3083
2016-02-18 12:33:53,3949,24.0,90.3,2689
2016-02-25 12:33:53,2546,40.9,99.1,1867
2016-03-03 12:33:53,1906,40.6,88.1,1072
2016-03-10 12:33:53,2799,26.1,63.2,2381
2016-03-17 12:33:53,4873,41.7,59.3,4347
2016-03-24 12:33:53,1125,37.8,67.4,790
2016-03-31 12:33:53,4904,20.3,74.8,3006
2016-04-07 12:33:53,4353,33.1,96.1,2985
2016-04-14 12:33:53,4526,39.3,52.5,2425
2016-04-21 12:33:53,864,31.6,66.4,595
2016-04-28 12:33:53,2603,35.9,64.7,2105
2016-05-05 12:33:53,3581,38.9,64.4,2150
2016-05-12 12:33:53,1099,40.1,94.9,792
2016-05-19 12:33:53,4097,37.1,97.4,2815
2016-05-26 12:33:53,4548,25.0,62.3,2590
2016-06-02 12:33:53,1307,19.7,96.1,1169
2016-06-09 12:33:53,1539,25.4,94.3,1139
2016-06-16 12:33:53,586,36.8,75.5,479
2016-06-23 12:33:53,3964,30.2,53.5,3321
2016-06-30 12:33:53,214,41.7,86.0,108
2016-07-07 12:33:53,3148,24.8,61.5,1752
2016-07-14 12:33:53,1978,26.0,97.2,1098
2016-07-21 12:33:53,1079,20.9,96.7,541
2016-07-28 12:33:53,2167,36.7,50.4,1678
2016-08-04 12:33:53,748,29.2,88.4,445
2016-08-11 12:33:53,2210,38.3,51.0,1738
2016-08-18 12:33:53,2507,39.7,54.4,1560
2016-08-25 12:33:53,1278,40.1,73.3,1069
2016-09-01 12:33:53,2899,31.1,78.9,1972
2016-09-08 12:33:53,4087,21.2,51.9,3091
2016-09-15 12:33:53,2422,24.8,82.0,1707
2016-09-22 12:33:53,890,18.3,62.0,763
2016-09-29 12:33:53,2864,38.0,66.5,2142
2016-10-06 12:33:53,4673,27.0,57.4,3380
2016-10-13 12:33:53,4682,37.6,81.6,3273
2016-10-20 12:33:53,496,24.8,68.3,391
2016-10-27 12:33:53,3922,21.9,76.8,2225
2016-11-03 12:33:53,2766,30.1,52.4,2043
2016-11-10 12:33:53,1107,38.3,83.1,722
2016-11-17 12:33:53,526,23.2,87.1,345
2016-11-24 12:33:53,665,37.7,76.0,512
2016-12-01 12:33:53,1594,25.2,91.6,1203
2016-12-08 12:33:53,4443,22.6,55.3,3884
2016-12-15 12:33:53,2197,30.7,76.6,1582
2016-12-22 12:33:53,3494,18.7,50.4,2193
2016-12-29 12:33:53,816,23.1,81.8,679
2017-01-05 12:33:53,4483,31.7,77.6,2824
2017-01-12 12:33:53,4266,30.0,66.9,3660
2017-01-19 12:33:53,4679,33.0,59.2,4052
2017-01-26 12:33:53,3561,19.6,56.6,2730
2017-02-02 12:33:53,1921,24.0,95.5,1002
2017-02-09 12:33:53,759,34.9,67.8,441
2017-02-16 12:33:53,2888,31.7,67.3,1516
2017-02-23 12:33:53,3686,20.8,89.8,2391
2017-03-02 12:33:53,1897,28.4,84.6,1548
2017-03-09 12:33:53,2584,39.7,68.6,1636
2017-03-16 12:33:53,4759,18.0,50.7,3858
2017-03-23 12:33:53,2935,37.2,82.2,2486
2017-03-30 12:33:53,633,27.0,57.2,502
2017-04-06 12:33:53,4412,36.7,97.3,3189
2017-04-13 12:33:53,2847,30.8,54.2,2391
2017-04-20 12:33:53,995,29.3,73.2,852
2017-04-27 12:33:53,4292,39.1,98.3,2191
2017-05-04 12:33:53,2217,22.5,73.6,1963
2017-05-11 12:33:53,1484,32.0,95.9,1202
2017-05-18 12:33:53,3776,36.7,60.6,3070
2017-05-25 12:33:53,4957,32.7,55.9,3835
2017-06-01 12:33:53,4807,20.7,60.0,3474
2017-06-08 12:33:53,4763,19.4,84.6,4106
2017-06-15 12:33:53,3468,36.6,98.6,1764
2017-06-22 12:33:53,1213,20.1,99.0,1031
2017-06-29 12:33:53,416,29.3,74.4,297
2017-07-06 12:33:53,3215,38.7,96.3,2727
2017-07-13 12:33:53,566,29.0,82.5,366
2017-07-20 12:33:53,4327,30.5,64.6,2391
2017-07-27 12:33:53,3603,35.9,61.1,2954
2017-08-03 12:33:53,4670,38.4,97.8,2570
2017-08-10 12:33:53,2576,38.5,55.9,1547
2017-08-17 12:33:53,2216,24.7,59.7,1164
2017-08-24 12:33:53,1812,19.0,87.0,1271
2017-08-31 12:33:53,3045,37.9,51.5,2657
2017-09-07 12:33:53,4807,32.1,97.6,2925
2017-09-14 12:33:53,2334,27.4,79.4,1663
2017-09-21 12:33:53,1678,37.3,97.8,1475
2017-09-28 12:33:53,4617,37.8,92.0,3420
2017-10-05 12:33:53,4492,39.7,73.6,3796
2017-10-12 12:33:53,3419,23.8,79.5,2703
2017-10-19 12:33:53,1536,28.6,93.3,828
2017-10-26 12:33:53,2289,29.5,82.4,1150
2017-11-02 12:33:53,1480,29.5,97.0,805
2017-11-09 12:33:53,2732,41.1,93.4,2443
2017-11-16 12:33:53,2580,27.1,67.3,1775
2017-11-23 12:33:53,590,26.6,98.0,477
2017-11-30 12:33:53,3829,31.6,73.9,3009
2017-12-07 12:33:53,1084,25.1,56.7,724
2017-12-14 12:33:53,2062,21.1,91.6,1770
2017-12-21 12:33:53,2917,29.4,88.8,2407
2017-12-28 12:33:53,2327,30.3,82.0,1624
2018-01-04 12:33:53,2153,25.5,96.4,1487
2018-01-11 12:33:53,4837,20.7,92.7,3598
2018-01-18 12:33:53,3782,32.0,57.5,1975
2018-01-25 12:33:53,1946,37.5,96.7,1637
2018-02-01 12:33:53,2351,21.7,50.6,1859
2018-02-08 12:33:53,4556,22.4,69.5,3722
2018-02-15 12:33:53,1087,30.6,70.8,799
2018-02-22 12:33:53,2276,39.5,68.3,1327
2018-03-01 12:33:53,3155,23.2,84.9,2664
2018-03-08 12:33:53,1638,40.7,90.4,1041
2018-03-15 12:33:53,2852,25.3,53.1,1536
2018-03-22 12:33:53,4386,20.7,85.6,3607
2018-03-29 12:33:53,230,37.3,68.4,197
2018-04-05 12:33:53,2953,36.3,62.0,2191
2018-04-12 12:33:53,3802,23.9,80.9,3380
2018-04-19 12:33:53,3159,36.2,57.6,2087
2018-04-26 12:33:53,2061,28.1,57.4,1278
2018-05-03 12:33:53,1758,33.8,88.0,920
2018-05-10 12:33:53,3329,32.4,68.1,2081
2018-05-17 12:33:53,1144,22.4,73.8,642
2018-05-24 12:33:53,364,23.0,62.9,249
2018-05-31 12:33:53,4426,41.6,93.6,2728
2018-06-07 12:33:53,4439,24.3,56.1,3974
2018-06-14 12:33:53,4675,22.0,66.3,2562
2018-06-21 12:33:53,4793,29.3,74.6,4295
2018-06-28 12:33:53,2948,26.8,81.1,2124
2018-07-05 12:33:53,945,25.7,91.4,636
2018-07-12 12:33:53,3906,29.9,52.0,2878
2018-07-19 12:33:53,522,27.8,82.2,370
2018-07-26 12:33:53,1164,41.2,77.4,674
2018-08-02 12:33:53,2485,24.4,58.3,1740
2018-08-09 12:33:53,1858,25.4,63.5,1170
2018-08-16 12:33:53,1635,35.2,83.6,838
2018-08-23 12:33:53,4705,39.1,87.6,3694
2018-08-30 12:33:53,3838,28.6,79.2,2184
2018-09-06 12:33:53,2336,28.0,88.6,1581
2018-09-13 12:33:53,2725,34.1,67.7,2166
2018-09-20 12:33:53,2651,33.6,94.3,1584
2018-09-27 12:33:53,4115,40.1,67.5,2765
2018-10-04 12:33:53,2349,35.8,97.1,1505
2018-10-11 12:33:53,2563,32.2,59.1,2103
2018-10-18 12:33:53,1813,33.7,77.7,1416
2018-10-25 12:33:53,1326,27.9,53.4,944
2018-11-01 12:33:53,4471,33.3,69.0,3651
2018-11-08 12:33:53,4426,36.3,81.3,3156
2018-11-15 12:33:53,2046,22.7,64.2,1039
2018-11-22 12:33:53,4819,31.2,64.2,3208
2018-11-29 12:33:53,3276,39.9,64.8,2829
2018-12-06 12:33:53,4703,33.7,93.8,3661
2018-12-13 12:33:53,676,35.3,76.9,548
2018-12-20 12:33:53,1924,37.5,60.0,1387
2018-12-27 12:33:53,1356,28.3,87.9,1017
2019-01-03 12:33:53,1360,34.4,83.2,715
2019-01-10 12:33:53,3592,33.1,68.7,2398
2019-01-17 12:33:53,4895,41.2,100.0,2599
2019-01-24 12:33:53,1765,19.4,73.8,899
2019-01-31 12:33:53,218,32.2,95.7,193
2019-02-07 12:33:53,1034,30.1,87.3,754
2019-02-14 12:33:53,702,26.9,54.0,431
2019-02-21 12:33:53,1041,30.6,64.6,700
2019-02-28 12:33:53,4562,31.2,68.3,2624
2019-03-07 12:33:53,3810,26.8,57.0,2958
2019-03-14 12:33:53,3939,19.6,76.9,2692
2019-03-21 12:33:53,482,26.2,88.4,372
2019-03-28 12:33:53,4486,26.1,85.9,2809
2019-04-04 12:33:53,3361,27.8,67.7,2589
2019-04-11 12:33:53,2616,26.2,55.9,1870
2019-04-18 12:33:53,642,28.7,51.6,449
2019-04-25 12:33:53,782,41.7,96.9,505
2019-05-02 12:33:53,386,33.6,81.7,250
2019-05-09 12:33:53,3990,20.4,72.8,2448
2019-05-16 12:33:53,2161,29.3,60.1,1284
2019-05-23 12:33:53,446,36.1,90.6,260
2019-05-30 12:33:53,4798,36.6,53.9,3167
2019-06-06 12:33:53,1493,41.4,82.5,1027
2019-06-13 12:33:53,1164,25.3,89.1,681
2019-06-20 12:33:53,637,25.4,72.3,486
2019-06-27 12:33:53,4143,40.7,57.6,3195
2019-07-04 12:33:53,1725,27.7,66.0,1157
2019-07-11 12:33:53,496,23.1,77.7,320
2019-07-18 12:33:53,4012,28.3,94.2,2901
2019-07-25 12:33:53,3441,37.5,60.8,2233
2019-08-01 12:33:53,3552,33.6,53.9,1874
2019-08-08 12:33:53,354,27.4,75.2,252
2019-08-15 12:33:53,1406,21.9,54.9,720
2019-08-22 12:33:53,4673,26.9,90.2,2583
2019-08-29 12:33:53,4432,40.9,80.0,2809
2019-09-05 12:33:53,2307,40.8,63.6,1235
2019-09-12 12:33:53,3676,24.9,92.3,3090
2019-09-19 12:33:53,4494,31.2,96.4,2741
2019-09-26 12:33:53,4113,19.5,54.8,2515
2019-10-03 12:33:53,581,36.7,80.1,317
2019-10-10 12:33:53,1570,37.4,76.5,1263
2019-10-17 12:33:53,231,35.4,68.1,162
2019-10-24 12:33:53,3596,37.9,97.8,2329
2019-10-31 12:33:53,429,31.4,58.6,238
2019-11-07 12:33:53,2786,18.6,75.7,1916
2019-11-14 12:33:53,2185,36.9,87.7,1137
2019-11-21 12:33:53,541,38.6,88.4,397
2019-11-28 12:33:53,4791,37.2,66.4,3970
2019-12-05 12:33:53,4514,29.4,95.0,3097
2019-12-12 12:33:53,2995,36.2,79.0,2252
2019-12-19 12:33:53,2334,32.1,62.2,1603
2019-12-26 12:33:53,3515,37.8,54.3,2637
2020-01-02 12:33:53,1602,28.1,66.4,1086
2020-01-09 12:33:53,538,41.9,69.6,411
2020-01-16 12:33:53,4923,27.7,91.8,4210
2020-01-23 12:33:53,916,21.8,63.0,567
2020-01-30 12:33:53,2823,38.0,54.3,1628
2020-02-06 12:33:53,837,21.3,83.2,706
2020-02-13 12:33:53,2271,22.1,68.0,1912
2020-02-20 12:33:53,4971,20.7,90.1,3895
2020-02-27 12:33:53,1007,39.9,88.4,566
2020-03-05 12:33:53,2470,23.6,99.3,1748
2020-03-12 12:33:53,4373,20.0,52.6,2458
2020-03-19 12:33:53,3748,26.1,59.6,2526
2020-03-26 12:33:53,2294,34.7,84.0,1254
2020-04-02 12:33:53,3256,34.9,60.6,2066
2020-04-09 12:33:53,839,33.9,56.2,558
2020-04-16 12:33:53,3342,33.0,91.6,1740
2020-04-23 12:33:53,2967,32.6,55.8,1981
2020-04-30 12:33:53,3517,32.3,94.8,2935
2020-05-07 12:33:53,225,27.1,57.7,115
2020-05-14 12:33:53,627,29.1,74.0,336
2020-05-21 12:33:53,2415,27.0,58.1,1482
2020-05-28 12:33:53,4576,21.2,69.3,3509
2020-06-04 12:33:53,763,32.7,87.8,606
2020-06-11 12:33:53,3325,38.9,65.0,1755
2020-06-18 12:33:53,290,41.5,62.8,256
2020-06-25 12:33:53,2973,28.9,76.7,2355
2020-07-02 12:33:53,1528,35.9,98.5,1093
2020-07-09 12:33:53,484,40.5,78.4,394
2020-07-16 12:33:53,1982,33.7,77.5,1573
2020-07-23 12:33:53,1125,34.6,66.5,665
2020-07-30 12:33:53,3435,21.5,55.1,2279
2020-08-06 12:33:53,3807,29.1,95.1,2148
2020-08-13 12:33:53,3722,25.1,63.8,2360
2020-08-20 12:33:53,4224,29.4,88.0,3269
2020-08-27 12:33:53,1282,27.5,59.7,1093
2020-09-03 12:33:53,3037,37.3,54.1,1714
2020-09-10 12:33:53,4162,18.1,51.1,3362
2020-09-17 12:33:53,1344,22.9,67.9,731
2020-09-24 12:33:53,359,21.8,63.4,318
2020-10-01 12:33:53,2454,24.0,83.1,2196
2020-10-08 12:33:53,4951,21.7,57.5,4042
2020-10-15 12:33:53,4723,23.2,81.5,3371
2020-10-22 12:33:53,4022,28.0,70.1,2135
2020-10-29 12:33:53,2605,36.9,69.0,1791
2020-11-05 12:33:53,3201,33.0,65.5,2448
2020-11-12 12:33:53,1016,26.3,81.2,679
2020-11-19 12:33:53,4562,23.9,62.5,4023
2020-11-26 12:33:53,3083,35.7,57.5,1772
2020-12-03 12:33:53,3979,38.5,99.2,3456
2020-12-10 12:33:53,4359,38.3,51.1,3354
2020-12-17 12:33:53,1324,32.0,60.0,1132
2020-12-24 12:33:53,438,22.3,92.2,254
2020-12-31 12:33:53,2563,20.9,83.1,1347
2021-01-07 12:33:53,3937,31.0,93.2,2515
2021-01-14 12:33:53,1900,23.9,65.4,1650
2021-01-21 12:33:53,938,36.4,82.5,781
2021-01-28 12:33:53,1770,25.0,59.8,1278
2021-02-04 12:33:53,2306,32.7,71.0,1989
2021-02-11 12:33:53,2175,35.5,77.4,1881
2021-02-18 12:33:53,3726,19.9,93.0,2876
2021-02-25 12:33:53,2699,31.2,70.0,2091
2021-03-04 12:33:53,2813,20.1,76.5,1456
2021-03-11 12:33:53,2477,23.9,56.0,2150
2021-03-18 12:33:53,258,36.3,73.2,183
2021-03-25 12:33:53,3654,38.7,71.1,2805
2021-04-01 12:33:53,3131,36.5,62.8,2803
2021-04-08 12:33:53,1347,25.8,68.2,942
2021-04-15 12:33:53,320,27.3,59.3,182
2021-04-22 12:33:53,2717,33.7,82.1,1845
2021-04-29 12:33:53,1160,25.3,69.7,814
2021-05-06 12:33:53,839,27.7,65.7,592
2021-05-13 12:33:53,4293,36.9,76.2,2790
2021-05-20 12:33:53,772,34.4,99.6,408
2021-05-27 12:33:53,1078,34.2,77.2,935
2021-06-03 12:33:53,4864,21.9,56.3,3822
2021-06-10 12:33:53,3264,32.4,91.3,2806
2021-06-17 12:33:53,4275,31.1,61.0,2862
2021-06-24 12:33:53,4255,33.2,50.7,2988
2021-07-01 12:33:53,2002,37.7,58.5,1045
2021-07-08 12:33:53,520,18.7,76.6,262
2021-07-15 12:33:53,3013,22.7,76.2,2092
2021-07-22 12:33:53,763,33.6,98.9,559
2021-07-29 12:33:53,462,40.9,78.8,335
2021-08-05 12:33:53,3074,18.4,94.5,2217
2021-08-12 12:33:53,4351,20.9,81.1,3701
2021-08-19 12:33:53,1718,35.0,58.7,1261
2021-08-26 12:33:53,4860,25.2,64.2,3320
2021-09-02 12:33:53,1940,33.1,98.3,1074
2021-09-09 12:33:53,3858,32.4,60.5,2506
2021-09-16 12:33:53,3003,31.4,52.3,2177
2021-09-23 12:33:53,3858,38.4,75.2,3041
2021-09-30 12:33:53,4705,38.5,77.0,3102
2021-10-07 12:33:53,499,40.1,87.2,357
2021-10-14 12:33:53,3675,37.8,79.0,3067
2021-10-21 12:33:53,1831,38.7,56.7,1541
2021-10-28 12:33:53,1281,23.8,97.1,936
2021-11-04 12:33:53,540,39.8,60.5,402
2021-11-11 12:33:53,3430,32.2,53.7,2881
2021-11-18 12:33:53,931,20.2,89.7,783
2021-11-25 12:33:53,2548,41.6,60.4,1741
2021-12-02 12:33:53,570,35.8,56.8,473
2021-12-09 12:33:53,1840,35.2,78.2,1100
2021-12-16 12:33:53,1904,33.4,52.7,1189
2021-12-23 12:33:53,4825,18.3,97.6,3492
2021-12-30 12:33:53,1711,22.9,92.8,1238
2022-01-06 12:33:53,548,25.5,96.7,291
2022-01-13 12:33:53,1400,39.0,87.9,1157
2022-01-20 12:33:53,4103,28.4,87.5,3365
2022-01-27 12:33:53,1397,28.9,73.2,741
2022-02-03 12:33:53,2543,21.6,93.1,1506
2022-02-10 12:33:53,3134,29.5,65.9,2373
2022-02-17 12:33:53,2217,27.0,63.9,1710
2022-02-24 12:33:53,3893,37.9,90.4,2627
2022-03-03 12:33:53,2011,24.9,75.0,1235
2022-03-10 12:33:53,4236,34.7,82.1,3319
2022-03-17 12:33:53,2464,22.9,84.2,1456
2022-03-24 12:33:53,3211,34.8,71.7,2782
2022-03-31 12:33:53,1082,19.3,91.2,617
2022-04-07 12:33:53,4478,33.5,86.6,2606
2022-04-14 12:33:53,4698,18.5,54.5,4036
2022-04-21 12:33:53,3226,36.8,80.1,2884
2022-04-28 12:33:53,2890,20.5,57.0,2322
2022-05-05 12:33:53,1144,19.3,52.8,889
2022-05-12 12:33:53,2803,28.6,77.0,2385
2022-05-19 12:33:53,4953,35.0,61.1,3424
2022-05-26 12:33:53,4531,39.5,54.5,2584
2022-06-02 12:33:53,1412,26.4,59.4,898
2022-06-09 12:33:53,1104,35.4,59.2,749
2022-06-16 12:33:53,2015,20.2,78.4,1285
2022-06-23 12:33:53,3893,33.8,82.6,2015
2022-06-30 12:33:53,244,41.3,60.7,138
2022-07-07 12:33:53,2141,39.8,51.9,1444
2022-07-14 12:33:53,383,38.2,91.1,335
2022-07-21 12:33:53,1683,37.8,63.4,1370
2022-07-28 12:33:53,1666,36.6,77.3,1235
2022-08-04 12:33:53,1013,28.8,84.2,707
2022-08-11 12:33:53,3885,25.8,66.5,2818
2022-08-18 12:33:53,4132,30.7,59.2,2561
2022-08-25 12:33:53,3803,27.0,87.2,2459
2022-09-01 12:33:53,2055,19.2,66.9,1183
2022-09-08 12:33:53,503,29.0,76.7,373
2022-09-15 12:33:53,2644,37.9,68.0,1354
2022-09-22 12:33:53,2064,27.6,66.3,1563
2022-09-29 12:33:53,1679,31.7,66.3,1189
2022-10-06 12:33:53,458,31.7,80.7,255
2022-10-13 12:33:53,4096,40.6,99.5,2433
2022-10-20 12:33:53,1091,20.4,85.3,675
2022-10-27 12:33:53,4320,35.9,90.9,3755
2022-11-03 12:33:53,431,21.4,74.3,344
2022-11-10 12:33:53,3812,25.8,64.2,2870
2022-11-17 12:33:53,2608,33.2,69.3,2331
2022-11-24 12:33:53,4821,20.4,98.3,4283
2022-12-01 12:33:53,3581,23.4,82.2,2298
2022-12-08 12:33:53,3018,23.2,60.4,2369
2022-12-15 12:33:53,2095,29.0,81.4,1855
2022-12-22 12:33:53,4531,26.8,62.9,2553
2022-12-29 12:33:53,1464,27.1,82.2,851
2023-01-05 12:33:53,3679,18.0,95.9,2140
2023-01-12 12:33:53,3701,22.4,61.4,2974
2023-01-19 12:33:53,4625,19.9,87.5,2527
2023-01-26 12:33:53,1239,19.0,91.4,898
2023-02-02 12:33:53,4002,36.6,94.5,2969
2023-02-09 12:33:53,3407,36.9,92.1,2004
2023-02-16 12:33:53,2191,24.1,70.6,1569
2023-02-23 12:33:53,3575,28.8,54.4,1801
2023-03-02 12:33:53,1840,31.3,50.9,1161
2023-03-09 12:33:53,1940,28.2,91.2,1396
2023-03-16 12:33:53,2869,25.1,97.9,1801
2023-03-23 12:33:53,248,28.7,91.7,201
2023-03-30 12:33:53,3272,37.9,99.1,2647
2023-04-06 12:33:53,431,21.3,92.5,281
2023-04-13 12:33:53,1384,40.1,63.6,1016
2023-04-20 12:33:53,2650,34.5,95.8,2258
2023-04-27 12:33:53,901,20.9,79.5,746
2023-05-04 12:33:53,1993,32.6,76.0,1270
2023-05-11 12:33:53,3136,28.0,84.8,2461
2023-05-18 12:33:53,3657,18.5,71.2,3288
